A,B,C,D,,,
IceBm01,IceBm02,IceBm03,IceBm04,"IceBm02,IceBm03,IceBm04",0,0
IceBm02,IceBm05,,,IceBm05,-1,1
IceBm03,IceBm06,,,IceBm06,0,1
IceBm04,IceBm07,,,IceBm07,1,1
IceBm05,IceBm09,,,IceBm09,-1,2
IceBm06,IceBm10,,,IceBm10,0,2
IceBm07,IceBm11,,,IceBm11,1,2
IceBm08,IceBm26,,,IceBm26,-3,3
IceBm09,IceBm08,IceBm13,IceBm14,"IceBm08,IceBm13,IceBm14",-2,3
IceBm10,IceBm14,IceBm15,IceBm16,"IceBm14,IceBm15,IceBm16",0,3
IceBm11,IceBm12,IceBm16,IceBm17,"IceBm12,IceBm16,IceBm17",2,3
IceBm12,IceBm30,,,IceBm30,3,3
IceBm13,IceBm21,,,IceBm21,-2,4
IceBm14,IceBm18,IceBm19,,"IceBm18,IceBm19",-1,4
IceBm15,,,,,0,4
IceBm16,IceBm19,IceBm20,,"IceBm19,IceBm20",1,4
IceBm17,IceBm25,,,IceBm25,2,4
IceBm18,IceBm22,,,IceBm22,-1,5
IceBm19,IceBm23,,,IceBm23,0,5
IceBm20,IceBm24,,,IceBm24,1,5
IceBm21,IceBm26,IceBm31,,"IceBm26,IceBm31",-2,6
IceBm22,IceBm27,IceBm28,,"IceBm27,IceBm28",-1,6
IceBm23,,,,,0,6
IceBm24,IceBm28,IceBm29,,"IceBm28,IceBm29",1,6
IceBm25,IceBm30,IceBm33,,"IceBm30,IceBm33",2,6
IceBm26,IceBm31,,,IceBm31,-3,7
IceBm27,,,,,-1,7
IceBm28,IceBm32,,,IceBm32,0,7
IceBm29,,,,,1,7
IceBm30,IceBm33,,,IceBm33,3,7
IceBm31,IceBm34,IceBm35,,"IceBm34,IceBm35",-2,8
IceBm32,IceBm39,IceBm40,IceBm41,"IceBm39,IceBm40,IceBm41",0,8
IceBm33,IceBm36,IceBm37,,"IceBm36,IceBm37",2,8
IceBm34,,,,,-3,9
IceBm35,IceBm38,IceBm39,,"IceBm38,IceBm39",-2,9
IceBm36,IceBm41,IceBm42,,"IceBm41,IceBm42",2,9
IceBm37,,,,,3,9
IceBm38,,,,,-2,10
IceBm39,IceBm43,IceBm44,,"IceBm43,IceBm44",-1,10
IceBm40,IceBm45,,,IceBm45,0,10
IceBm41,IceBm46,IceBm47,,"IceBm46,IceBm47",1,10
IceBm42,,,,,2,10
IceBm43,,,,,-2,11
IceBm44,IceBm48,,,IceBm48,-1,11
IceBm45,IceBm48,IceBm49,IceBm51,"IceBm48,IceBm49,IceBm51",0,11
IceBm46,IceBm49,,,IceBm49,1,11
IceBm47,,,,,2,11
IceBm48,IceBm50,,,IceBm50,-1,12
IceBm49,IceBm52,,,IceBm52,1,12
IceBm50,IceBm53,,,IceBm53,-2,13
IceBm51,IceBm54,,,IceBm54,0,13
IceBm52,IceBm55,,,IceBm55,2,13
IceBm53,IceBm56,,,IceBm56,-1,14
IceBm54,IceBm56,IceBm57,IceBm59,"IceBm56,IceBm57,IceBm59",0,14
IceBm55,IceBm57,,,IceBm57,1,14
IceBm56,IceBm58,,,IceBm58,-1,15
IceBm57,IceBm60,,,IceBm60,1,15
IceBm58,,,,,-1,16
IceBm59,,,,,0,16
IceBm60,,,,,1,16
