A,B,C,D
smi01,smi02,smi03,smi04,0,0
smi02,smi05,-1,1
smi03,smi06,0,1
smi04,smi07,1,1
smi05,smi09,-1,2
smi06,smi10,0,2
smi07,smi11,1,2
smi08,smi26,-3,3
smi09,smi08,smi13,smi14,-2,3
smi10,smi14,smi15,smi16,0,3
smi11,smi12,smi16,smi17,2,3
smi12,smi30,3,3
smi13,smi21,-2,4
smi14,smi18,smi19,-1,4
smi15,,0,4
smi16,smi19,smi20,1,4
smi17,smi25,2,4
smi18,smi22,-1,5
smi19,smi23,0,5
smi20,smi24,1,5
smi21,smi26,smi31,-2,6
smi22,smi27,smi28,-1,6
smi23,,0,6
smi24,smi28,smi29,1,6
smi25,smi30,smi33,2,6
smi26,smi31,-3,7
smi27,,-1,7
smi28,smi32,0,7
smi29,,1,7
smi30,smi33,3,7
smi31,smi34,smi35,-2,8
smi32,smi39,smi40,smi41,0,8
smi33,smi36,smi37,2,8
smi34,,-3,9
smi35,smi38,smi39,-2,9
smi36,smi41,smi42,2,9
smi37,,3,9
smi38,,-2,10
smi39,smi43,smi44,-1,10
smi40,smi45,0,10
smi41,smi46,smi47,1,10
smi42,,2,10
smi43,,-2,11
smi44,smi48,-1,11
smi45,smi48,smi49,smi51,0,11
smi46,smi49,1,11
smi47,,2,11
smi48,smi50,-1,12
smi49,smi52,1,12
smi50,smi53,-2,13
smi51,smi54,0,13
smi52,smi55,2,13
smi53,smi56,-1,14
smi54,smi56,smi57,smi59,0,14
smi55,smi57,1,14
smi56,smi58,-1,15
smi57,smi60,1,15
smi58,,-1,16
smi59,,0,16
smi60,,1,16
