id,name,icon,desc,children,gx,gy,cost,seal,requiresUnlock
Frost00,Frost Mage,FALSE,,,10,1,,,
Frost01,Ice Attack,IceAttack.png,Ice Attack + 5,"Frost02,Frost03",0,0,1,0,
Frost02,Stamina,Stamina.png,Stamina + 30,Frost04,-1,1,1,0,
Frost03,Stamina,Stamina.png,Stamina + 30,Frost05,1,1,1,0,
Frost04,Ice Revelation,IceRevelation.png,"Summon 2 permanent Ice Cores that float beside you.

Ice Core
When Basic Attacks deal DMG, Ice Cores have a fixed 10% chance to fire 2 Ice Arrows.

Ice Arrow: Each arrow deals Magic Damage equal to 25% ATK to the target and grants 1 Frost Crystal (up to 2 Frost Crystals can be stored).",Frost06,-1,2,1,0,
Frost05,Intellect Conversion,IntellectConversion.png,Every 10 points of Intellect provides 1 point of MATK.,"Frost07,Frost08",1,2,1,0,
Frost06,Intellect,Intellect.png,Intellect + 10,"Frost09,Frost10",-2,3,1,0,
Frost07,Ice Attack,IceAttack.png,Ice Attack + 5,Frost11,0,3,1,0,
Frost08,Intellect,Intellect.png,Intellect + 10,"Frost12,Frost13",2,3,1,0,
Frost09,Secondary Amp,SecondaryAmp.png,"Boost the highest stat among the following 5 stats: Crit, Haste, Luck, Mastery, and Versatility by 3.5% as a final value.",Frost14,-2,4,1,0,
Frost10,Stamina,Stamina.png,Stamina + 30,Frost15,-1,4,1,0,
Frost11,Instant Cooling,InstantCooling.png,"For every 35 Ice Energy consumed, the CD of Meteor Storm and Frozen Gale -1s.",,0,4,1,0,
Frost12,Stamina,Stamina.png,Stamina + 30,"Frost15,Frost16",1,4,1,0,
Frost13,Intellect Cooling,IntellectCooling.png,"When Intellect reaches 300, skill CD -10%.",Frost17,3,4,1,0,
Frost14,Ice Attack,IceAttack.png,Ice Attack + 5,"Frost18,Frost19",-2,5,1,0,
Frost15,Frost Curse Sigil,FrostCurseSigil.png,"When a Special Attack deals DMG, it has a fixed 5% chance to Frozen the target.",,0,5,1,0,
Frost16,Intellect,Intellect.png,Intellect + 10,Frost20,1,5,1,0,
Frost17,Ice Attack,IceAttack.png,Ice Attack + 5,Frost21,2,5,1,0,
Frost18,Stamina,Stamina.png,Stamina + 30,Frost22,-3,6,1,0,
Frost19,Stamina,Stamina.png,Stamina + 30,"Frost23,Frost24",-1,6,1,0,
Frost20,Ice Comet,IceComet.png,"When Intellect reaches 500, gain 5% Ice bonus.",Frost24,1,6,1,0,
Frost21,Stamina,Stamina.png,Stamina + 30,Frost28,2,6,1,0,
Frost22,Breath of Frost,BreathofFrost.png,Frost Crystal cap +1.,,-2,7,1,0,
Frost23,Cold Stream,ColdStream.png,"Max Ice Energy +25.
Every 1% Haste increases Ice Energy's auto REG SPD by 1%.",Frost26,-1,7,1,0,
Frost24,Ice Attack,IceAttack.png,Ice Attack + 5,Frost25,0,7,1,0,
Frost25,Intellect,Intellect.png,Intellect + 10,Frost27,1,8,1,0,
Frost26,Intellect,Intellect.png,Intellect + 10,Frost29,-1,9,1,0,
Frost27,Cold Intent - Flow,ColdIntent-Flow.png,"Ice Energy cap +40.
Special Attack damage +4%.",,0,9,1,0,
Frost28,Cold Intent - Sharp,ColdIntent-Sharp.png,"Max Ice Energy +10.
Special Attack DMG +12%.",,2,9,1,0,
Frost29,Stamina,Stamina.png,Stamina + 30,Frost30,0,10,1,0,
Frost30,Frost Explosion,FrostExplosion.png,Ice Arrows fired by Ice Cores deal an additional instance of AoE Magic Damage equal to 25% ATK.,,0,11,1,0,
Icicl00,Icicle Spec,TRUE ,,,9,13,,,
Icicl01,Icicle Spec,IcicleSpec.png,"Further enhances Frost Lance. When Frost Lance deals Crit DMG, it has a fixed 30% chance to let Ice Cores fire Ice Arrows.","Icicl02,Icicl03,Icicl04",0,0,1,0,
Icicl02,Stamina,Stamina.png,Stamina + 30,Icicl05,-1,1,1,0,
Icicl03,Intellect,Intellect.png,Intellect + 10,Icicl06,0,1,1,0,
Icicl04,Stamina,Stamina.png,Stamina + 30,Icicl07,1,1,1,0,
Icicl05,Shattering Strike,ShatteringStrike.png,"When Meteor Storm deals DMG, it causes Ice Cores to fire Ice Arrows. This effect can trigger up to once per Meteor Storm cast.",Icicl09,-1,2,1,0,
Icicl06,Energy Saving,EnergySaving.png,"Consume Frost Crystal with Frost Lance returns 50% of the consumed Ice Energy after Casting.

Not consuming Frost Crystal with Frost Lance deducts an additional 50% of the consumed Ice Energy after Casting.",Icicl10,0,2,1,0,
Icicl07,Snow Shadow,SnowShadow.png,"For every 50 Ice Energy consumed, the CD of Crystal Veil -1s.",Icicl11,1,2,1,0,
Icicl08,Stamina,Stamina.png,Stamina + 30,Icicl26,-3,3,1,0,
Icicl09,Ice Attack,IceAttack.png,Ice Attack + 5,"Icicl08,Icicl13,Icicl14",-2,3,1,0,
Icicl10,Stamina,Stamina.png,Stamina + 30,"Icicl14,Icicl15,Icicl16",0,3,1,0,
