A,B,C,D,,,
Heavy01,Heavy03,,,Heavy03,0,0
Heavy02,Heavy06,,,Heavy06,-1,1
Heavy03,Heavy02,Heavy04,Heavy05,"Heavy02,Heavy04,Heavy05",0,1
Heavy04,Heavy08,,,Heavy08,1,1
Heavy05,Heavy07,,,Heavy07,0,2
Heavy06,Heavy09,,,Heavy09,-1,3
Heavy07,Heavy10,Heavy11,,"Heavy10,Heavy11",0,3
Heavy08,Heavy12,,,Heavy12,1,3
Heavy09,Heavy13,,,Heavy13,-2,4
Heavy10,Heavy14,,,Heavy14,-1,4
Heavy11,Heavy15,,,Heavy15,0,4
Heavy12,Heavy16,Heavy20,,"Heavy16,Heavy20",1,4
Heavy13,Heavy17,,,Heavy17,-2,5
Heavy14,Heavy17,Heavy18,Heavy19,"Heavy17,Heavy18,Heavy19",-1,5
Heavy15,Heavy19,Heavy20,,"Heavy19,Heavy20",0,5
Heavy16,Heavy21,,,Heavy21,2,5
Heavy17,Heavy22,,,Heavy22,-2,6
Heavy18,Heavy23,,,Heavy23,-1,6
Heavy19,Heavy24,,,Heavy24,0,6
Heavy20,Heavy25,,,Heavy25,1,6
Heavy21,Heavy26,,,Heavy26,2,6
Heavy22,Heavy27,,,Heavy27,-2,7
Heavy23,Heavy28,,,Heavy28,-1,7
Heavy24,Heavy29,,,Heavy29,0,7
Heavy25,,,,,1,7
Heavy26,Heavy30,,,Heavy30,2,7
Heavy27,,,,,-2,8
Heavy28,,,,,-1,8
Heavy29,,,,,0,8
Heavy30,,,,,1,8
