A,B,C,D,,,
marks01,marks02,marks03,,"marks02,marks03",0,0
marks02,marks04,,,marks04,-1,1
marks03,marks05,,,marks05,1,1
marks04,marks06,,,marks06,-1,2
marks05,marks07,marks08,,"marks07,marks08",1,2
marks06,marks09,marks10,,"marks09,marks10",-2,3
marks07,marks11,,,marks11,0,3
marks08,marks12,marks13,,"marks12,marks13",2,3
marks09,marks14,,,marks14,-2,4
marks10,marks15,,,marks15,-1,4
marks11,,,,,0,4
marks12,marks15,marks16,,"marks15,marks16",1,4
marks13,marks17,,,marks17,3,4
marks14,marks18,marks19,,"marks18,marks19",-2,5
marks15,,,,,0,5
marks16,marks20,,,marks20,1,5
marks17,marks21,,,marks21,2,5
marks18,marks22,,,marks22,-3,6
marks19,marks23,marks24,,"marks23,marks24",-1,6
marks20,marks24,,,marks24,1,6
marks21,marks28,,,marks28,2,6
marks22,,,,,-2,7
marks23,marks26,,,marks26,-1,7
marks24,marks25,,,marks25,0,7
marks25,marks27,,,marks27,1,8
marks26,marks29,,,marks29,-1,9
marks27,,,,,0,9
marks28,,,,,2,9
marks29,marks30,,,marks30,0,10
marks30,,,,,0,11
