id,name,icon,desc,children,gx,gy,cost,seal,requiresUnlock
marks00,Marksman,FALSE,,,10,1,,,
marks01,Light Attack,LightAttack.png,Light Attack + 5,"marks02,marks03",0,0,1,0,
marks02,Stamina,Stamina.png,Stamina + 30,marks04,-1,1,1,0,
marks03,Stamina,Stamina.png,Stamina + 30,marks05,1,1,1,0,
marks04,Wolf Pact,WolfPact.png,"Tames a Wild Wolf to fight alongside you. Storm Arrow has a 30% fixed chance to trigger Coordinated Attack.

Wild Wolf
A Wild Wolf fights alongside you.
Basic Attack: Sweeps the enemy, dealing Attack Damage equal to 60% ATK (which scales with the Level/Tier of your Basic Attack).
Coordinated Attack: Wild Wolf leaps to the enemy and bites, dealing Attack Damage equal to 100% ATK (which scales with the Level/Tier of your Basic Attack).",marks06,-1,2,1,0,
marks05,Agility Conversion,AgilityConversion.png,Every 10 points of Agility provide 2 point of Haste.,"marks07,marks08",1,2,1,0,
marks06,Stamina,Stamina.png,Stamina + 30,"marks09,marks10",-2,3,1,0,
marks07,Agility,Agility.png,Agility + 10,marks11,0,3,1,0,
marks08,Light Attack,LightAttack.png,Light Attack + 5,"marks12,marks13",2,3,1,0,
marks09,Agility,Agility.png,Agility + 10,marks14,-2,4,1,0,
marks10,Agility,Agility.png,Agility + 10,marks15,-1,4,1,0,
marks11,Vulnerable Strike,VulnerableStrike.png,"Dealing DMG grants a fixed 30% chance to apply Vulnerability to the enemy.
Vulnerability: Increases the DMG you deal to the target by 10% for 5s.",,0,4,1,0,
marks12,Stamina,Stamina.png,Stamina + 30,"marks15,marks16",1,4,1,0,
marks13,Quick Shot,QuickShot.png,Attack Speed +3%,marks17,3,4,1,0,
marks14,Rapid Shot,RapidShot.png,Every 5% Haste provides an additional 1% attack speed.,"marks18,marks19",-2,5,1,0,
marks15,Stamina,Stamina.png,Stamina + 30,,0,5,1,0,
marks16,Psychic Surge,PsychicSurge.png,"For every 15 Special Attacks cast, Photon Energy granted by the next cast of Arrow Rain +100%.",marks20,1,5,1,0,
marks17,Light Attack,LightAttack.png,Light Attack + 5,marks21,2,5,1,0,
marks18,Light Attack,LightAttack.png,Light Attack + 5,marks22,-3,6,1,0,
marks19,Beast Power,BeastPower.png,Pet damage +10%.,"marks23,marks24",-1,6,1,0,
marks20,Agility,Agility.png,Agility + 10,marks24,1,6,1,0,
marks21,Agility,Agility.png,Agility + 10,marks28,2,6,1,0,
marks22,Light Attack,LightAttack.png,Light Attack + 5,,-2,7,1,0,
