id,name,icon,desc,children,gx,gy,cost,seal
Shkni00,Shield Knight,FALSE,,,10,1,,
Shkni01,Light Attack,LightAttack.png,Light Attack + 5,Shkni03,0,0,1,0
Shkni02,Condemn,Condemn.png,"When casting a skill that consumes Photon Energy, there is a 30% fixed chance for Basic Attacks to evolve into Condemn.",Shkni06,-1,1,1,0
Shkni03,Stamina,Stamina.png,Stamina + 30,"Shkni02,Shkni04,Shkni05",0,1,1,0
Shkni04,Power Conversion,PowerConversion.png,"Armor +2000
3 Strength provides 2 Armor.",Shkni08,1,1,1,0
Shkni05,Lightforged Body,LightforgedBody.png,"Every 1 Holy Sigil consumed grants a Radiant shield equal to 30% ATK (depending on Adventurer Level, up to 60%).",Shkni07,0,2,1,0
Shkni06,Strength,Strength.png,Strength + 10,"Shkni09,Shkni10",-1,3,1,0
Shkni07,Stamina,Stamina.png,Stamina + 30,Shkni11,0,3,1,0
Shkni08,Strength,Strength.png,Strength + 10,"Shkni12,Shkni13",1,3,1,0
Shkni09,Stamina,Stamina.png,Stamina + 30,Shkni14,-2,4,1,0
Shkni10,Strength,Strength.png,Strength + 10,Shkni23,-1,4,1,0
Shkni11,Light Attack,LightAttack.png,Light Attack + 5,Shkni15,0,4,1,0
Shkni12,Stamina,Stamina.png,Stamina + 30,Shkni16,1,4,1,0
Shkni13,Strength,Strength.png,Strength + 10,Shkni17,2,4,1,0
Shkni14,Light Attack,LightAttack.png,Light Attack + 5,Shkni18,-2,5,1,0
Shkni15,Lightforged Fortitude,LightforgedFortitude.png,"During the duration of Radiant Shield, Block chance +10%.","Shkni19,Shkni20",0,5,1,0
Shkni16,Haste Sigil,HasteSigil.png,"Each 1% haste increases the recovery speed of Holy Sigil by 1%, Holy Sigil recovery time = Holy Sigil initial recovery time / (1 + Holy Sigil recovery speed bonus).","Shkni20,Shkni21",1,5,1,0
Shkni17,Lightforge Continuum,LightforgeContinuum.png,"For every 20 points of Photon Energy consumed, gains Radiant Shield equal to 30% ATK (this ratio is affected by Adventurer Level, up to 60%).",Shkni21,2,5,1,0
Shkni18,Ring of Judgment,RingofJudgment.png,"Casting Judgment generates a Divine Circle, with a CD of 30s.
Each Holy Sigil consumed reduces the remaining CD by 1s.",Shkni22,-2,6,1,0
Shkni19,Strength,Strength.png,Strength + 10,Shkni24,0,6,1,0
Shkni20,Light Attack,LightAttack.png,Light Attack + 5,Shkni25,1,6,1,0
Shkni21,Light Attack,LightAttack.png,Light Attack + 5,Shkni26,2,6,1,0
Shkni22,Stamina,Stamina.png,Stamina + 30,Shkni27,-2,7,1,0
Shkni23,Condemn Time Limit,CondemnTimeLimit.png,"When Condemn deals damage, it immediately cools down 1 Holy Sigil (prioritizing the Holy Sigil with the longest remaining CD).",,-1,7,1,0
Shkni24,Stamina,Stamina.png,Stamina + 30,Shkni28,0,7,1,0
Shkni25,Stamina,Stamina.png,Stamina + 30,Shkni29,1,7,1,0
Shkni26,Stamina,Stamina.png,Stamina + 30,Shkni30,2,7,1,0
Shkni27,Light of Condemn,LightofCondemn.png,"While inside a Divine Circle, your Condemn is enhanced—thrusting a blade of light forward and dealing double DMG.",,-1,8,1,0
Shkni28,Life Enhancement,LifeEnhancement.png,"When Strength reaches 500 points, Max HP +12%.",,0,8,1,0
Shkni29,Blessing of Holy Sigil,BlessingofHolySigil.png,"When using a Skill that consumes Holy Sigils, 20% chance for your next Holy Sigil-consuming skill to consume no Holy Sigils. The effect lasts for 8s or until a Holy Sigil-consuming skill is cast.",,1,8,1,0
Shkni30,Energy Guard,EnergyGuard.png,"After Casting the Ultimate, the aggro generated by Allies is transferred to oneself, lasting for 6s.",,2,8,1,0
Recov00,Shield Spec,TRUE,"Shkni01,Shkni02,Shkni03,Shkni04,Shkni05,Shkni06,Shkni07,Shkni08,Shkni09,Shkni10,Shkni11,Shkni12,Shkni13,Shkni14,Shkni15,Shkni16,Shkni17,Shkni18,Shkni19,Shkni20,Shkni21,Shkni22,Shkni23,Shkni24,Shkni25,Shkni26,Shkni27,Shkni28,Shkni29,Shkni30","Shkni01,Shkni02,Shkni03,Shkni04,Shkni05,Shkni06,Shkni07,Shkni08,Shkni09,Shkni10,Shkni11,Shkni12,Shkni13,Shkni14,Shkni15,Shkni16,Shkni17,Shkni18,Shkni19,Shkni20,Shkni21,Shkni22,Shkni23,Shkni24,Shkni25,Shkni26,Shkni27,Shkni28,Shkni29,Shkni30",9,10,,
Recov01,Recovery Spec,RecoverySpec.png,"Continue to enhance the ability to use Valor Bash.
Radiant Impact is accompanied by Radiant Impact, and when Radiant Impact hits an enemy target, it taunts them.","Recov02,Recov03",0,0,1,0
Recov02,Stamina,Stamina.png,Stamina + 30,"Recov04,Recov05",-1,1,1,0
Recov03,Stamina,Stamina.png,Stamina + 30,"Recov05,Recov06",1,1,1,0
Recov04,Strength,Strength.png,Strength + 10,Recov07,-2,2,1,0
Recov05,Light Attack,LightAttack.png,Light Attack + 5,"Recov08,Recov09,Recov13",0,2,1,0
Recov06,Strength,Strength.png,Strength + 10,Recov10,2,2,1,0
Recov07,Holy Light Time Limit,HolyLightTimeLimit.png,"During Aegis Ward, when Expertise deal Crit DMG, there's a 50% fixed chance to instantly reset 1 Holy Sigil CD (prioritizing Holy Sigil with the longest remaining CD). This effect triggers only once when hitting multiple targets.","Recov11,Recov12",-2,3,1,0
Recov08,Radiant Guard,RadiantGuard.png,"Casting Shield Toss immediately grants a Radiant shield equal to 100% ATK (depending on Adventurer Level, up to 200%). The Overdrive of Shield Toss +1.",Recov12,-1,3,1,0
Recov09,Divine Circle Defender,DivineCircleDefender.png,"While within the Divine Circle, the Armor effect provided by Valor Bash +30%.",Recov14,1,3,1,0
Recov10,Radiant Heal,RadiantHeal.png,Increases Judgment Healing by 25%.,"Recov14,Recov15",2,3,1,0
Recov11,Stamina,Stamina.png,Stamina + 30,"Recov16,Recov26",-3,4,1,0
