id,name,icon,desc,children,gx,gy,cost,seal
Storm00,Stormblade,FALSE,,,10,1,,
Storm01,Thunder Attack,ThunderAttack.png,Thunder Attack + 5,"Storm02,Storm03",0,0,1,0
Storm02,Stamina,Stamina.png,Stamina + 30,Storm04,-1,1,1,0
Storm03,Stamina,Stamina.png,Stamina + 30,Storm05,1,1,1,0
Storm04,Iai Thunder Dance,IaiThunderDance.png,"When you gain 3 or more Thunder Sigils, a Special Attack is cast, attacking 2 times consecutively.","Storm06,Storm07",-1,2,1,0
Storm05,Blade Intent,BladeIntent.png,3 points of Blade Intent are gained when an Expertise Skill is cast.,"Storm07,Storm08",1,2,1,0
Storm06,Agility,Agility.png,Agility + 10,Storm09,-2,3,1,0
Storm07,Stamina,Stamina.png,Stamina + 30,Storm14,0,3,1,0
Storm08,Agility,Agility.png,Agility + 10,"Storm10,Storm11",2,3,1,0
Storm09,Thunder Sigil Charm,ThunderSigilCharm.png,Increases Max Thunder Sigil by 1.,"Storm12,Storm13",-2,4,1,0
Storm10,Stamina,Stamina.png,Stamina + 30,Storm15,1,4,1,0
Storm11,Keen Strike,KeenStrike.png,"When Basic Attacks deal DMG, 10% chance to trigger Piercing Slash, once per second.",Storm16,2,4,1,0
Storm12,Stamina,Stamina.png,Stamina + 30,Storm17,-3,5,1,0
Storm13,Stamina,Stamina.png,Stamina + 30,Storm18,-1,5,1,0
Storm14,Agility Conversion,AgilityConversion.png,Every 8 Agility grants 1 ATK.,Storm19,0,5,1,0
Storm15,Agility,Agility.png,Agility + 10,Storm22,1,5,1,0
Storm16,Stamina,Stamina.png,Stamina + 30,Storm20,2,5,1,0
Storm17,Thunder Attack,ThunderAttack.png,Thunder Attack + 5,Storm24,-3,6,1,0
Storm18,Agility,Agility.png,Agility + 10,Storm25,-2,6,1,0
Storm19,Stamina,Stamina.png,Stamina + 30,"Storm21,Storm27",0,6,1,0
Storm20,Agility,Agility.png,Agility + 10,"Storm23,Storm30",3,6,1,0
Storm21,Thunder Attack,ThunderAttack.png,Thunder Attack + 5,Storm26,-1,7,1,0
Storm22,Thunder Attack,ThunderAttack.png,Thunder Attack + 5,Storm28,1,7,1,0
Storm23,Thunder Attack,ThunderAttack.png,Thunder Attack + 5,Storm29,2,7,1,0
Storm24,Thunder Sigil Charm,ThunderSigilCharm.png,Increases Max Thunder Sigil by 1.,,-3,8,1,0
Storm25,Swift,Swift.png,Each 1% Haste provides 1% Attack Speed.,,-2,8,1,0
Storm26,Swift Blade,SwiftBlade.png,"When Agility reaches 500 points, Crit DMG and Lucky Damage +5%.",,-1,8,1,0
Storm27,Overdrive Refinement,OverdriveRefinement.png,Reduces the CD of Overdrive by 30%.,,0,8,1,0
