id,name,icon,desc,children,gx,gy,cost,seal
Verdo00,Verdant Oracle,FALSE,,,10,1,,
Verdo01,Forest Attack,ForestAttack.png,Forest Attack + 5,Verdo03,0,0,1,0
Verdo02,Inspiration,Inspiration.png,Applies Inspiration to yourself and allies within 30 meters.,Verdo06,-1,1,1,0
Verdo03,Stamina,Stamina.png,Stamina + 30,"Verdo02,Verdo04,Verdo05",0,1,1,0
Verdo04,Intellect Conversion,IntellectConversion.png,Every 10 points of Intellect provides 1 point of MATK.,Verdo08,1,1,1,0
Verdo05,Regen Bud,RegenBud.png,"Casting a Special Attack grants 1 Regen Bud.

Initial cap of Regen Buds: 4.
When an Expertise Skill or Ultimate generates healing, 2 Regen Buds are consumed to throw a Nourishing Seed, triggering up to once per second.
When an Expertise Skill or Ultimate deals DMG, 2 Regen Buds are consumed to shoot a Wild Seed once per second.",Verdo07,0,2,1,0
Verdo06,Intellect,Intellect.png,Intellect + 10,Verdo09,-1,3,1,0
Verdo07,Forest Attack,ForestAttack.png,Forest Attack + 5,Verdo10,0,3,1,0
Verdo08,Intellect,Intellect.png,Intellect + 10,Verdo11,1,3,1,0
Verdo09,Stamina,Stamina.png,Stamina + 30,Verdo12,-2,4,1,0
Verdo10,Stamina,Stamina.png,Stamina + 30,"Verdo13,Verdo14",0,4,1,0
Verdo11,Stamina,Stamina.png,Stamina + 30,"Verdo14,Verdo15",2,4,1,0
Verdo12,Defensive Blessing,DefensiveBlessing.png,Inspiration additionally grants the target 200 Armor.,Verdo16,-1,5,1,0
Verdo13,Breath of Buds,BreathofBuds.png,Increases Max Regen Bud by 4.,Verdo19,0,5,1,0
Verdo14,Forest Attack,ForestAttack.png,Forest Attack + 5,Verdo17,1,5,1,0
Verdo15,Energy Surge,EnergySurge.png,Every 2% haste provides 1% energy natural recovery efficiency.,"Verdo18,Verdo20",2,5,1,0
Verdo16,Intellect,Intellect.png,Intellect + 10,Verdo21,-2,6,1,0
Verdo17,Regeneration Bud,RegenerationBud.png,"When dealing damage with normal attacks, 10% chance to gain 1 Regen Bud.","Verdo19,Verdo20",1,6,1,0
Verdo18,Intellect,Intellect.png,Intellect + 10,Verdo25,3,6,1,0
Verdo19,Stamina,Stamina.png,Stamina + 30,"Verdo22,Verdo23",0,7,1,0
