id,name,icon,desc,children,gx,gy,cost,seal,requiresUnlock
Windk00,Wind Knight,FALSE,,,10,1,,,
Windk01,Wind Attack,WindAttack.png,Wind Attack + 5,Windk02,0,0,1,0,
Windk02,Stamina,Stamina.png,Stamina + 30,Windk04,0,1,1,0,
Windk03,Stamina,Stamina.png,Stamina + 30,Windk07,-1,2,1,0,
Windk04,Sharp,Sharp.png,Dealing DMG with Special Attacks grants Sharp.,"Windk03,Windk05,Windk06",0,2,1,0,
Windk05,Stamina,Stamina.png,Stamina + 30,Windk09,1,2,1,0,
Windk06,Power Conversion,PowerConversion.png,Every 8 Strength grants 1 ATK.,Windk08,0,3,1,0,
Windk07,Stamina,Stamina.png,Stamina + 30,Windk10,-1,4,1,0,
Windk08,Sharp Expansion,SharpExpansion.png,Sharp cap +1.,Windk11,0,5,1,0,
Windk09,Swift Shadow,SwiftShadow.png,"Every 50 points of Courage consumed reduces the CD of Spiral Thrust, Breach Pursuit, and Falcon Toss by 1.","Windk12,Windk16",1,5,1,0,
Windk10,Strength,Strength.png,Strength + 10,"Windk13,Windk14",-1,6,1,0,
Windk11,Wind Attack,WindAttack.png,Wind Attack + 5,Windk15,0,6,1,0,
Windk12,Strength,Strength.png,Strength + 10,Windk17,2,6,1,0,
Windk13,Wind Attack,WindAttack.png,Wind Attack + 5,Windk21,-2,7,1,0,
Windk14,Stamina,Stamina.png,Stamina + 30,Windk18,-1,7,1,0,
Windk15,Strength,Strength.png,Strength + 10,Windk19,0,7,1,0,
Windk16,Stamina,Stamina.png,Stamina + 30,Windk20,1,7,1,0,
Windk17,Valor,Valor.png,Increases Max Courage by 30.,Windk20,2,7,1,0,
Windk18,Long Lance Sharp Blade,LongLanceSharpBlade.png,"When Strength reaches 300 points, Expertise Skill damage +7%.",Windk22,-1,8,1,0,
Windk19,Vulnerable Strike,VulnerableStrike.png,"Dealing DMG grants a fixed 30% chance to apply Vulnerability to the enemy.
Vulnerability: Increases the DMG you deal to the target by 10% for 5s.",Windk22,0,8,1,0,
Windk20,Divine Concealment,DivineConcealment.png,"Consuming Courage increases Haste by 1% and Speed by 2% for 5s, stacking up to 5 times.",Windk23,2,8,1,0,
Windk21,Stamina,Stamina.png,Stamina + 30,Windk27,-2,9,1,0,
Windk22,Wind Attack,WindAttack.png,Wind Attack + 5,Windk24,-1,9,1,0,
Windk23,Wind Attack,WindAttack.png,Wind Attack + 5,"Windk25,Windk26",1,9,1,0,
Windk24,Stamina,Stamina.png,Stamina + 30,Windk28,-1,10,1,0,
Windk25,Strength,Strength.png,Strength + 10,"Windk29,Windk30",0,10,1,0,
Windk26,Strength,Strength.png,Strength + 10,Windk30,2,10,1,0,
Windk27,Sharp,Sharp.png,"When Strength reaches 500 points, the additional ATK from Sharp increases to 6%.",,-2,11,1,0,
Windk28,Sharp Expansion,SharpExpansion.png,Sharp cap +1.,,-1,11,1,0,
Windk29,Wind and Thunder Strike,WindandThunderStrike.png,"When Galeform ends, it applies the Tempestrike.
Every 50 points of Courage consumed during Galeform extends the duration of Tempestrike by 1s.",,0,11,1,0,
Windk30,Swift,Swift.png,Each 1% Haste provides 1% Attack Speed.,,1,11,1,0,
Skywa00,Skyward Spec,TRUE,,,9,13,,,
Skywa01,Skyward Spec,SkywardSpec.png,"Replace Special Attack with Skyfall enhances the skill.
When having Sharp, gains ATK based on the max number of Sharp.","Skywa02,Skywa03,Skywa04",0,0,1,0,
Skywa02,Strength,Strength.png,Strength + 10,"Skywa05,Skywa06",-1,1,1,0,
Skywa03,Stamina,Stamina.png,Stamina + 30,"Skywa06,Skywa07,Skywa08",0,1,1,0,
Skywa04,Strength,Strength.png,Strength + 10,"Skywa08,Skywa09",1,1,1,0,
Skywa05,Bird Advancement,BirdAdvancement.png,"Increases the Overdrive of Falcon Toss by 1.
Reduces Courage consumed by Falcon Toss by 50%.",Skywa11,-2,2,1,0,
Skywa06,Stamina,Stamina.png,Stamina + 30,"Skywa11,Skywa12",-1,2,1,0,
Skywa07,Wind Fury,WindFury.png,Casting Sharp Impact grants Wind Fury.,Skywa13,0,2,1,0,
Skywa08,Stamina,Stamina.png,Stamina + 30,"Skywa14,Skywa15",1,2,1,0,
Skywa09,Skyfall,Skyfall.png,"When dealing DMG, Skyfall gains a fixed 15% chance to grant 1 stack of Sharp.",Skywa15,2,2,1,0,
Skywa10,Wind Attack,WindAttack.png,Wind Attack + 5,Skywa27,-3,3,1,0,
Skywa11,Stamina,Stamina.png,Stamina + 30,"Skywa10,Skywa12,Skywa17,Skywa18",-2,3,1,0,
Skywa12,Kamikaze Luck,KamikazeLuck.png,"For each 1 stack of Sharpness consumed, gains 3 points of Courage.
Increases Lucky Hit final DMG by 50%.",Skywa18,-1,3,1,0,
Skywa13,Wind Attack,WindAttack.png,Wind Attack + 5,"Skywa18,Skywa19,Skywa20",0,3,1,0,
Skywa14,Instant Edge Break Style,InstantEdgeBreakStyle.png,"Instant Edge consumes 1 more Sharp.
Increases the DMG dealt by Instant Edge by 90%.",Skywa20,1,3,1,0,
Skywa15,Stamina,Stamina.png,Stamina + 30,"Skywa16,Skywa20,Skywa21",2,3,1,0,
Skywa16,Wind Attack,WindAttack.png,Wind Attack + 5,Skywa29,3,3,1,0,
Skywa17,Sharp Expansion,SharpExpansion.png,Sharp cap +1.,,-2,4,1,0,
Skywa18,Strength,Strength.png,Strength + 10,"Skywa22,Skywa23,Skywa24",-1,4,1,0,
Skywa19,Battle Cry,BattleCry.png,"Typhoon Cleave Raises the banner spear, granting Inspire to Allies. Afterward, a follow-up leap can be launched, dealing Attack Damage to the enemies within range and knocking them airborne, while restoring 100 Courage.
Inspire: Lasts for 10s. All Allies gain 10% Haste (Only one effect can be active at a time). You restore 10 Courage per second and 1 Sharpness every 2s.",,0,4,1,0,
Skywa20,Strength,Strength.png,Strength + 10,"Skywa24,Skywa25,Skywa26",1,4,1,0,
Skywa21,Sharp Expansion,SharpExpansion.png,Sharp cap +1.,,2,4,1,0,
Skywa22,Spear Penetration,SpearPenetration.png,"When Skyfall lands a Lucky Hit, it triggers Spear Thrust, once every 2s.
Dealing DMG with Spear Thrust restores 8 points of Courage. This effect triggers only once, even if multiple targets are hit.",Skywa30,-2,5,1,0,
Skywa23,Stamina,Stamina.png,Stamina + 30,"Skywa28,Skywa31",-1,5,1,0,
Skywa24,Pursuit Stance,PursuitStance.png,"When Skyfall deals Crit DMG, it triggers Chasing Step.",Skywa28,0,5,1,0,
Skywa25,Stamina,Stamina.png,Stamina + 30,"Skywa28,Skywa33",1,5,1,0,
Skywa26,Sharp Echo,SharpEcho.png,"If Sharpness isn't at Max stacks, increases the DMG dealt by Skyfall by 25%.",Skywa34,2,5,1,0,
Skywa27,Tornado Dance,TornadoDance.png,"During Wind Fury, DMG dealt by Instant Edge and Azure Sever triggers Tornado (triggered at most once when hitting multiple targets).",,-3,6,1,0,
Skywa28,Sharp Long Breath,SharpLongBreath.png,"During Wind Fury, Falcon Toss evolves into Azure Sever once.",Skywa32,0,6,1,0,
Skywa29,Catcher,Catcher.png,"In combat, for every enemy defeated that you participated in defeating (effective within a team), increases ATK by 30 for 30s, up to 300.",,3,6,1,0,
Skywa30,Strength,Strength.png,Strength + 10,Skywa35,-2,7,1,0,
Skywa31,Sharp Expansion,SharpExpansion.png,Sharp cap +1.,Skywa36,-1,7,1,0,
Skywa32,Exceptional Elegance,ExceptionalElegance.png,"During Galeform, increases the DMG dealt by Instant Edge and Skyfall by 25%.",Skywa42,0,7,1,0,
Skywa33,Strength,Strength.png,Strength + 10,Skywa37,1,7,1,0,
Skywa34,Wind Attack,WindAttack.png,Wind Attack + 5,"Skywa38,Skywa44",2,7,1,0,
Skywa35,Stamina,Stamina.png,Stamina + 30,"Skywa39,Skywa40",-3,8,1,0,
Skywa36,Wind Attack,WindAttack.png,Wind Attack + 5,"Skywa40,Skywa41",-1,8,1,0,
Skywa37,Stamina,Stamina.png,Stamina + 30,"Skywa43,Skywa44",1,8,1,0,
Skywa38,Wind Attack,WindAttack.png,Wind Attack + 5,Skywa45,3,8,1,0,
Skywa39,Wind Swirl Strike,WindSwirlStrike.png,"Increases the DMG dealt by Tornado by 30%.
Increases the DMG dealt by Spear Thrust by 30%.",,-3,9,1,0,
Skywa40,Strength,Strength.png,Strength + 10,Skywa46,-2,9,1,0,
Skywa41,Spear Recovery,SpearRecovery.png,Spear Thrust reduces the CD of Falcon Toss by 2s (which can only be triggers once on multiple hits).,,-1,9,1,0,
Skywa42,Stamina,Stamina.png,Stamina + 30,"Skywa47,Skywa48,Skywa56",0,9,1,0,
